I0229 15:41:19.290870 164201 Oracle_NN.py:283] key:airplane,train_idx:0,train_slicer:2832,num:2832
I0229 15:41:19.291278 164201 Oracle_NN.py:284] key:airplane,train_idx:0,train_slicer:809,num:809
I0229 15:58:04.662106 164201 Oracle_NN.py:157] loss:0.03782099819299606, idx:853, prediction shapetorch.Size([1, 1024, 3])
I0229 15:58:12.777051 164201 Oracle_NN.py:157] loss:0.0641307087599125, idx:2503, prediction shapetorch.Size([1, 1024, 3])
I0229 15:58:20.840171 164201 Oracle_NN.py:157] loss:0.08854054593522694, idx:1128, prediction shapetorch.Size([1, 1024, 3])
I0229 15:58:28.926546 164201 Oracle_NN.py:157] loss:0.03215256821441578, idx:2168, prediction shapetorch.Size([1, 1024, 3])
I0229 15:58:37.131416 164201 Oracle_NN.py:157] loss:0.08960081604368536, idx:676, prediction shapetorch.Size([1, 1024, 3])
I0229 15:58:45.131134 164201 Oracle_NN.py:157] loss:0.036128784685946096, idx:2364, prediction shapetorch.Size([1, 1024, 3])
I0229 15:58:53.220073 164201 Oracle_NN.py:157] loss:0.04313241780645592, idx:2368, prediction shapetorch.Size([1, 1024, 3])
I0229 15:59:01.265201 164201 Oracle_NN.py:157] loss:0.045758016691186135, idx:738, prediction shapetorch.Size([1, 1024, 3])
I0229 15:59:09.821712 164201 Oracle_NN.py:157] loss:0.04495919758197477, idx:158, prediction shapetorch.Size([1, 1024, 3])
I0229 15:59:18.063457 164201 Oracle_NN.py:157] loss:0.03704888235599589, idx:2128, prediction shapetorch.Size([1, 1024, 3])
I0229 15:59:26.078201 164201 Oracle_NN.py:157] loss:0.07769855996915863, idx:1107, prediction shapetorch.Size([1, 1024, 3])
I0229 15:59:34.231471 164201 Oracle_NN.py:157] loss:0.05217140681049693, idx:368, prediction shapetorch.Size([1, 1024, 3])
I0229 15:59:42.574521 164201 Oracle_NN.py:157] loss:0.05602095240421287, idx:169, prediction shapetorch.Size([1, 1024, 3])
I0229 15:59:50.616239 164201 Oracle_NN.py:157] loss:0.06418983778622729, idx:1063, prediction shapetorch.Size([1, 1024, 3])
I0229 15:59:58.637289 164201 Oracle_NN.py:157] loss:0.052879475944257, idx:2726, prediction shapetorch.Size([1, 1024, 3])
I0229 16:00:06.801301 164201 Oracle_NN.py:157] loss:0.0385767887951535, idx:900, prediction shapetorch.Size([1, 1024, 3])
I0229 16:00:14.992831 164201 Oracle_NN.py:157] loss:0.07189943759950596, idx:2097, prediction shapetorch.Size([1, 1024, 3])
I0229 16:00:23.059107 164201 Oracle_NN.py:157] loss:0.04934909103561691, idx:417, prediction shapetorch.Size([1, 1024, 3])
I0229 16:00:31.122418 164201 Oracle_NN.py:157] loss:0.040029600947515884, idx:2158, prediction shapetorch.Size([1, 1024, 3])
I0229 16:00:39.396505 164201 Oracle_NN.py:157] loss:0.08641069029085804, idx:2420, prediction shapetorch.Size([1, 1024, 3])
I0229 16:00:47.482460 164201 Oracle_NN.py:157] loss:0.044080067015510954, idx:1567, prediction shapetorch.Size([1, 1024, 3])
I0229 16:00:55.546959 164201 Oracle_NN.py:157] loss:0.02909936629840225, idx:472, prediction shapetorch.Size([1, 1024, 3])
I0229 16:01:03.641520 164201 Oracle_NN.py:157] loss:0.05330409584189028, idx:580, prediction shapetorch.Size([1, 1024, 3])
I0229 16:01:11.600550 164201 Oracle_NN.py:157] loss:0.052387518432426255, idx:1172, prediction shapetorch.Size([1, 1024, 3])
I0229 16:01:19.643716 164201 Oracle_NN.py:157] loss:0.06946344706266548, idx:2469, prediction shapetorch.Size([1, 1024, 3])
I0229 16:01:27.745645 164201 Oracle_NN.py:157] loss:0.09301308741541096, idx:1755, prediction shapetorch.Size([1, 1024, 3])
I0229 16:01:35.860157 164201 Oracle_NN.py:157] loss:0.05940407001289248, idx:1266, prediction shapetorch.Size([1, 1024, 3])
I0229 16:01:44.055607 164201 Oracle_NN.py:157] loss:0.06396962734944144, idx:510, prediction shapetorch.Size([1, 1024, 3])
I0229 16:01:52.167836 164201 Oracle_NN.py:157] loss:0.041353143085490734, idx:504, prediction shapetorch.Size([1, 1024, 3])
I0229 16:02:00.330875 164201 Oracle_NN.py:157] loss:0.048715623554084375, idx:1045, prediction shapetorch.Size([1, 1024, 3])
I0229 16:02:08.495458 164201 Oracle_NN.py:157] loss:0.08551696616900825, idx:2786, prediction shapetorch.Size([1, 1024, 3])
